,ID,Stock,Date,User_Name,User_ID,User_Followers,User_Verified,User_Lists,Likes,Retweets,Replies,URL,Text
664,1349819901142327297,TSLA,2021-01-14 20:45:17+00:00,Sawyer Merritt 📈🚀,243013409,102256,0,624,716,62,29,https://twitter.com/SawyerMerritt/status/1349819901142327297,"NEWS: Sandy Munro of Munro &amp; Associates will be testing/tearing down a 2021 Tesla Model 3 in a new video series on their YouTube channel that will contain about 30-40 episodes.

$TSLA https://t.co/M1Jk7rO9oz"
665,1349816500933304320,TSLA,2021-01-14 20:31:46+00:00,TikTok Investors,1295428909538906115,159391,0,1163,138,3,4,https://twitter.com/TikTokInvestors/status/1349816500933304320,@zerohedge Tough scene for tiktokers who can only buy $1400 worth of $TSLA calls now and not $2000.
666,1349816319370260480,TSLA,2021-01-14 20:31:03+00:00,squawksquare,930773590227718144,30426,0,271,519,42,42,https://twitter.com/squawksquare/status/1349816319370260480,"With a potential $2-$3 Trillion package revealed tonight, why would anyone sell right now. Markets will rocket higher tomorrow with anything in this budget range. $TSLA $NFLX $AMZN $BA"
667,1349816235265912833,TSLA,2021-01-14 20:30:43+00:00,AJ,394626603,19326,0,152,543,18,18,https://twitter.com/AlternateJones/status/1349816235265912833,I expect @ARKInvest &amp; @CathieDWood to release their updated $TSLA price targets any moment now.
668,1349814879495061504,TSLA,2021-01-14 20:25:20+00:00,Gary Black,1161703589942878208,98793,0,1157,222,16,28,https://twitter.com/garyblack00/status/1349814879495061504,"$TSLA more likely down today  (-1.0%) in tandem with other tech names getting pummeled again over censorship concerns after $SNAP banned Trump from its site for life ( $SNAP -8.2%, $TWTR -3.7%, $FB -2.3%, $AAPL -1.4%)."
669,1349813477347450881,TSLA,2021-01-14 20:19:45+00:00,Vincent Yu,1689516060,144969,0,811,507,50,17,https://twitter.com/vincent13031925/status/1349813477347450881,"Army Of Tesla Model Y Show Up at Giga Shanghai china 🇨🇳 in Preparation for Delivery + RHD Model 3 for Export

$TSLA

https://t.co/V5X5dNfhCq"
670,1349806725038288901,TSLA,2021-01-14 19:52:56+00:00,🚀 🐉 Steve Hamel 🐉🚀,999632398525530114,7740,0,77,65,6,9,https://twitter.com/SteveHamel16/status/1349806725038288901,"No comment needed!

#TeslaButterMafia
$TSLA
@elonmusk https://t.co/n0oC4sxBZW"
671,1349800973217247232,TSLA,2021-01-14 19:30:04+00:00,Stock Talk Weekly,1289823541098143744,114304,0,1655,105,21,11,https://twitter.com/stocktalkweekly/status/1349800973217247232,".@JoeBiden previously mentioned taking green energy to ""the point of no-return"" &amp; specifically mentioned 500K new charging stations &amp; conversion of ALL school buses to EVs

Massive tailwinds incoming in stimulus

$TSLA $NGA $SBE $CIIC $CCIV $NBAC $POLA $XL $CCIV $BLBD $PDAC $ACTC"
672,1349796505155211264,TSLA,2021-01-14 19:12:19+00:00,TheStreet,15281391,812091,1,7240,247,36,20,https://twitter.com/TheStreet/status/1349796505155211264,"Why Tesla Recall Doesn't Worry @jimcramer $TSLA
https://t.co/FSFRo0wZ2C"
673,1349793928338427905,TSLA,2021-01-14 19:02:05+00:00,Sawyer Merritt 📈🚀,243013409,102256,0,624,1034,101,19,https://twitter.com/SawyerMerritt/status/1349793928338427905,"Chamath Palihapitiya in 2019 on Elon Musk and Tesla: ""Being long equites makes sense, being long innovation makes sense. Betting against entrepreneurs that are changing the world has never been a profitable endeavor."" $TSLA 📈"
674,1349789679219060741,TSLA,2021-01-14 18:45:12+00:00,HyperCharts 📊,1083875526379556864,5005,0,76,124,12,9,https://twitter.com/hypercharts/status/1349789679219060741,"Tesla updates Vehicle Safety Report for Q4 2020. $TSLA

📈👉 https://t.co/4UNb9UxT15 https://t.co/jQ1zCq4NoM"
675,1349786346412453889,TSLA,2021-01-14 18:31:57+00:00,Dennis Coyle,60407575,17537,0,144,79,11,43,https://twitter.com/DCDOWORK/status/1349786346412453889,"Besides, $NIO $TSLA $XPEV $LI $RIDE $BLNK $PLUG $FCEL $IDEX $CCIV What is the Next Big #EV play? It needs to be over $5.00 minimum. Post the company with your opinion on why. This post is for Discussion and to Learn Together. Go!"
676,1349777399605559298,TSLA,2021-01-14 17:56:24+00:00,Dennis Coyle,60407575,17537,0,144,69,5,23,https://twitter.com/DCDOWORK/status/1349777399605559298,"People telling me to buy $CCIV because they May Merge with @LucidMotors First of all, Lucid Is not Producing for 1 more year. 2nd They are at the High End of the Price Range, 3rd Zero Revenue, Zero Sales, most buyers will buy a $TSLA than a $70,000+ Lucid. Long $TSLA $NIO $XPEV https://t.co/j3DvCcqu9m"
677,1349774085383970830,TSLA,2021-01-14 17:43:14+00:00,Gary Black,1161703589942878208,98793,0,1157,323,28,25,https://twitter.com/garyblack00/status/1349774085383970830,"Before $TSLA was added to the S&amp;P 500, I said it was when, not if. 

Same is true for $ZM.
1/ At $110B, ZM largest stock by mkt cap not in the S&amp;P 500.
2/ GAAP profitable 7 consec qtrs. 
3/ -34% from its $568 peak.  
4/ Beta vs S&amp;P is 0.4x.
5/ $1.5B secondary helps w/liquidity"
678,1349767678966132736,TSLA,2021-01-14 17:17:46+00:00,Travisleslie,496331171,492,0,4,396,30,23,https://twitter.com/Travisdleslie/status/1349767678966132736,Did anyone else notice this from battery day? I pulled the slide and made a simple graph to match up the data and it looks like @Tesla battery production is moving way faster than I thought. 1TWh by 2025 with 50% CAGR. 😳 @jpr007 @elonmusk @SawyerMerritt @TeslaPodcast $TSLA #TSLA https://t.co/NYiW0mDfJf
679,1349765322815926272,TSLA,2021-01-14 17:08:25+00:00,AJ,394626603,19326,0,152,211,6,10,https://twitter.com/AlternateJones/status/1349765322815926272,"The demand for the refreshed Model X is insane!

$TSLA"
680,1349762166732320769,TSLA,2021-01-14 16:55:52+00:00,"John Engle, Almington Capital Merchant Bankers",1067876579861241857,2142,0,53,44,7,4,https://twitter.com/AlmingtonCap/status/1349762166732320769,"""Expectations are now rising among industry insiders &amp; observers alike that autonomy's descent into the trough of disillusionment is imminent. That could quickly become a serious problem for Tesla."" – Tesla Autonomy Hype: Elon Musk Is Playing With Fire $TSLA $TSLAQ

full note 👇 https://t.co/zvlq5LPL2f"
681,1349760387143540736,TSLA,2021-01-14 16:48:48+00:00,Ashley Martin,1325526686960545792,1960,0,7,147,7,28,https://twitter.com/AshleyM14890553/status/1349760387143540736,"Reading ‘The Millionaire Next Door’. Take aways so far:
- Be a man  
- Have a meticulous, organized wife
- Live below your means, be frugal
- Be self-employed
- Own your home
- Be well educated
I’ve only got education and frugality on my side right now. Oh, and $TSLA!"
