ID,Date,Username,Likes,Retweets,Replies,URL,Text
1217463127593443328,2020-01-15 15:06:43+00:00,WallStCynic,242,34,24,https://twitter.com/WallStCynic/status/1217463127593443328,$TSLA announced a multi-year cobalt deal today. https://t.co/K89jgj1lc2
1217463025738964994,2020-01-15 15:06:19+00:00,orthereaboot,14,4,1,https://twitter.com/orthereaboot/status/1217463025738964994,"@ghruffo @InsideEVs Excellent article with interesting insights.

$tsla willful misclassification of warranty work as “goodwill” also serves to artificially inflate gross margins &amp; currently provides a substantial boost to net income. It’s accounting fraud as well.

https://t.co/KpuxWUsw2M https://t.co/32wTyzN7ef"
1217462371867865088,2020-01-15 15:03:43+00:00,john__rosevear,56,13,2,https://twitter.com/john__rosevear/status/1217462371867865088,"This is something that  $TSLAQ folks have talked about for a while, while $TSLA bulls ignored it. 

There are more things like this. There are no bullish explanations for them. 

https://t.co/jgZQqbukE9"
1217462087510683649,2020-01-15 15:02:35+00:00,OptionsGod1,13,1,1,https://twitter.com/OptionsGod1/status/1217462087510683649,Its time to move up $TSLA
1217461651118739458,2020-01-15 15:00:51+00:00,ihors3,138,34,10,https://twitter.com/ihors3/status/1217461651118739458,"$TSLA short int is $14.47bn ;26.90mm shs shorted; 20.10% of float;0.30% borrow fee. Shs shorted down -601k shs, -2.2%, over last 30 days as price rose +50% &amp; up +972k shs,+3.8%, last week. #Tesla Shorts down -$2.93bn in January mark-to-market losses; +$205mm on today's -1.4% move https://t.co/N1PJK3ZiBC"
1217461197584453632,2020-01-15 14:59:03+00:00,orthereaboot,57,15,4,https://twitter.com/orthereaboot/status/1217461197584453632,"Significant:

Two non-accounting benefits to $tsla of claiming goodwill instead of warranty referenced- of all places- in this quality @InsideEVs article:

1) avoids triggering Lemon Laws

2) avoids safety bulletins / recalls.

Tesla- Fraud as a service

 https://t.co/nqUojest33"
1217459968137252864,2020-01-15 14:54:10+00:00,GerberKawasaki,16,1,4,https://twitter.com/GerberKawasaki/status/1217459968137252864,"I’m going to be on #Sirius radio at 7 am est in 6 minutes.  Talking business news with Dan Loney, on ""Wharton Business Daily""
Sirius/ XM Channel 132. Tune in! #tesla #stocks #markets #apple $tsla $aapl"
1217459129800740865,2020-01-15 14:50:50+00:00,Messier_87_,53,9,9,https://twitter.com/Messier_87_/status/1217459129800740865,"Ark sold $TSLA shrs, but commented that its “conviction in Tesla has not changed.”  ... $TSLA is still the top holding in Ark’s portfolio ... sale was “more a portfolio management thing.” Ark funds have rules that no stock can constitute more than 10% of the portfolio

$TSLAQ 🙉 https://t.co/BeFl25hhHO"
1217458193493827585,2020-01-15 14:47:07+00:00,ReflexResearch,24,2,4,https://twitter.com/ReflexResearch/status/1217458193493827585,"@elonmusk @ARKInvest 30) By the way I know any $TSLAQ reading this will dismiss these potential production &amp; delivery levels as impossible dreaming or fraud or whatever. 
But clearly towards $100bn of capital disagrees with you on this and you at least have to consider the possibility $TSLA deliver."
1217457486187368453,2020-01-15 14:44:18+00:00,Insurmountabl1,57,7,4,https://twitter.com/Insurmountabl1/status/1217457486187368453,Nobody blinks an eye that $aapl market cap is up $356B in the last 3 mo where $tsla market cap has gone up by $45B. That’s 9 market caps of @Tesla that @Apple has gone up. Sell Apple. Buy Tesla.
