Ticker,Date,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
TSLA,2015-12-04,,,,,,,,,,,
TSLA,2015-12-07,,,,,,,,,,,
TSLA,2015-12-08,,,,,,,,,,,
TSLA,2015-12-09,,,,,,,,,,,
TSLA,2015-12-10,,,,,,,,,,,
TSLA,2015-12-11,,,,,,,,,,,
TSLA,2015-12-14,,,,,,,,,,,
TSLA,2015-12-15,,,,,,,,,,,
TSLA,2015-12-16,,,,,,,,,,,
TSLA,2015-12-17,,,,,,,,,,,
TSLA,2015-12-18,,,,,,,,,,,
TSLA,2015-12-21,,,,,,,,,,,
TSLA,2015-12-22,,,,,,,,,,,
TSLA,2015-12-23,,,,,,,,,,,
TSLA,2015-12-24,,,,,,,,,,,
TSLA,2015-12-28,,,,,,,,,,,
TSLA,2015-12-29,,,,,,,,,,,
TSLA,2015-12-30,,,,,,,,,,,
TSLA,2015-12-31,,-0.028882252226954338,-0.07018055490553969,30768480000.0,25.706637435792892,-34.62333865593594,-14.24896114523405,-7.321942711832221,-6.127123584084364,7.604619348619941,28.3919594280357
TSLA,2016-01-04,,-0.03102838198061343,-0.07539540365859233,28640326800.0,23.928595013150552,-32.2285577322337,-13.263407999355362,-6.815508340930492,-5.7033308695185285,7.078633177007062,26.428182234263232
TSLA,2016-01-05,,-0.031021438954884947,-0.07537853290368998,28646736900.0,23.933950562616342,-32.23577092778702,-13.266376532927284,-6.8170337456621235,-5.704607353598546,7.080217472704692,26.43409722581074
TSLA,2016-01-06,,-0.03164455847737521,-0.07689264175909394,28082648100.0,23.462662209626806,-31.60100971909487,-13.005145578597995,-6.682798129278534,-5.592276754557,6.940799451313326,25.913577969630087
TSLA,2016-01-07,,-0.03214347569890582,-0.07810495329158139,27646761300.0,23.098484845953074,-31.11051242146911,-12.803285295707179,-6.579070607527577,-5.505475837115805,6.833067343874544,25.51135854439958
TSLA,2016-01-08,,-0.03285185087426085,-0.07982622358923946,27050622000.0,22.600418745634588,-30.43968523501035,-12.52721167351827,-6.437207967485827,-5.38676281767417,6.685727843995033,24.961264330481388
TSLA,2016-01-11,,-0.03334972592960809,-0.08103600277762582,26646785700.0,22.263019129289805,-29.98525391515119,-12.340194058487072,-6.341107469393029,-5.3063443206330625,6.585917215044396,24.58861986298842
TSLA,2016-01-12,,-0.0330161492472924,-0.08022544976103609,26916009900.0,22.48795220685299,-30.28820812839063,-12.46487246850787,-6.405174468121562,-5.359956651993801,6.65245763434482,24.837049507983732
TSLA,2016-01-13,,-0.034606792483619774,-0.08409053009151037,25678860600.0,21.454331159955487,-28.89606138659987,-11.891945489126584,-6.110771354916642,-5.113595224550409,6.346688564702394,23.695456139314796
TSLA,2016-01-14,,-0.033616588430984674,-0.08168444799868829,26435252400.0,22.08628599691873,-29.74721846189163,-12.242232450613589,-6.290769113249183,-5.264220345992483,6.533635457022633,24.393425141920673
TSLA,2016-01-15,,-0.03381336846082459,-0.08216260086502208,26281410000.0,21.957752809739763,-29.57410176861195,-12.170987644887417,-6.254159399690022,-5.233584728072061,6.495612360279534,24.251465344780495
TSLA,2016-01-19,,-0.03386292395930162,-0.08228301503336359,26242949400.0,21.925619512945023,-29.53082259529203,-12.153176443455875,-6.245006971300231,-5.225925823591955,6.486106586093759,24.215975395495448
TSLA,2016-01-20,,-0.0348854581503223,-0.08476765564836199,25473737400.0,21.2829535770502,-28.66523912889363,-11.796952414825023,-6.061958403504426,-5.072747733989846,6.29599110237826,23.50617640979456
