Stock,Date,MAVG_20,MAVG_200,EMA,MACD,MACD_EMA,REL_VOL
TSLA,2019-01-02,342.41000000000014,312.4389499999999,333.4329084724505,-6.262203524306358,-2.606570182265518,0.388735002217991
TSLA,2019-01-03,339.50350000000014,312.3729499999999,330.28310766551874,-8.034446070549677,-3.69214535992235,-0.1178611224127236
TSLA,2019-01-04,337.40300000000013,312.4086499999999,329.08376407831554,-7.948944410604156,-4.543505170058712,-0.0512687211152889
TSLA,2019-01-07,335.9980000000001,312.5007999999999,329.64340559467104,-6.413705855634078,-4.917545307173786,-0.0283714412333351
TSLA,2019-01-08,334.8670000000001,312.63204999999994,330.186890776135,-5.106681849914082,-4.955372615721846,-0.0735455324988857
TSLA,2019-01-09,333.5360000000001,312.8169999999999,330.9814726069846,-3.7707891753930767,-4.718455927656092,-0.3203399766867642
TSLA,2019-01-10,332.4465000000001,313.0209499999999,332.31371331108943,-2.167445466586571,-4.208253835442188,-0.2100098635958851
TSLA,2019-01-11,331.4795000000001,313.3613499999999,333.73716918623165,-0.703886202632134,-3.5073803088801765,-0.3939789017297582
TSLA,2019-01-14,329.36000000000007,313.7444499999999,333.80029593040035,-0.5750704104061128,-2.920918329185364,-0.3392149863759472
TSLA,2019-01-15,328.2960000000001,314.1359499999999,334.81264869893823,0.3325211109922179,-2.2702304411498475,-0.1939124099453018
TSLA,2019-01-16,328.1775000000001,314.6037999999999,335.8828726323771,1.1690384439301624,-1.5823766641338457,-0.4287770958597395
TSLA,2019-01-17,328.69150000000013,315.00269999999995,336.9711704769166,1.911619961660904,-0.8835773389748955,-0.648579475411519
TSLA,2019-01-18,327.1560000000001,315.07929999999993,333.6653447171992,-1.1221024335499692,-0.9312823578899102,1.1267763489657796
TSLA,2019-01-22,326.33300000000014,315.04529999999994,330.3562642679321,-3.7526017179180258,-1.4955462298955335,0.4138481426560861
TSLA,2019-01-23,324.72400000000016,314.98674999999986,326.28328671859407,-6.674587176426485,-2.5313544192017243,0.4236293022320562
TSLA,2019-01-24,324.53000000000014,314.99599999999987,322.9715451263388,-8.575121798902615,-3.740107895141903,-0.0383681037872634
TSLA,2019-01-25,323.07750000000016,314.9576999999999,320.50187416192006,-9.52528286480333,-4.897142889074189,-0.1328859850035131
TSLA,2019-01-28,322.09000000000015,314.9349499999999,318.2045528131611,-10.213810390834167,-5.960476389426185,-0.2408564985080542
TSLA,2019-01-29,320.26950000000016,314.95184999999987,316.22888111666595,-10.550704488024166,-6.878522009145783,-0.5369538301857755
TSLA,2019-01-30,319.0680000000001,314.99399999999986,315.5185114865061,-9.792194684679316,-7.46125654425249,0.3218684080392493
TSLA,2019-01-31,318.9130000000001,315.07304999999985,314.709129440171,-9.225929799499283,-7.8141911953018495,0.4271548576425408
TSLA,2019-02-01,319.5055000000001,315.19564999999983,314.4711171125353,-8.263119080057606,-7.903976772253001,-0.1204351740031845
TSLA,2019-02-04,319.2655000000002,315.29334999999986,314.3205345303889,-7.360368583887691,-7.795255134579941,-0.1107913290339015
TSLA,2019-02-05,318.5850000000002,315.3996999999998,314.99000743225736,-5.894334792885729,-7.4150710662411,-0.1923687225943801
TSLA,2019-02-06,317.6785000000002,315.53459999999984,315.2023876768045,-5.008019602685522,-6.933660773529985,-0.471610578950321
TSLA,2019-02-07,316.1275000000002,315.65529999999984,314.469779326632,-5.0311285603633,-6.553154330896649,-0.2204653676830194
TSLA,2019-02-08,314.1690000000002,315.7669999999999,313.6440860574283,-5.128309327017519,-6.268185330120824,-0.3286759833389797
TSLA,2019-02-11,312.4480000000002,315.92774999999983,313.5675064329113,-4.584410391424285,-5.931430342381517,-0.1426501387437843
TSLA,2019-02-12,311.31850000000026,316.0593999999998,313.400124867872,-4.188199995794719,-5.582784273064157,-0.4006185509312394
TSLA,2019-02-13,309.50550000000027,316.1298499999998,312.90201773759816,-4.120420341036322,-5.290311486658591,-0.4667392575781027
TSLA,2019-02-14,307.39150000000024,316.1791999999997,312.0323017625884,-4.37135741663036,-5.106520672652945,-0.4572460610923377
TSLA,2019-02-15,305.4200000000002,316.21899999999977,311.63684445186544,-4.190281251837689,-4.923272788489894,-0.7452141710602959
TSLA,2019-02-19,305.5890000000002,316.24144999999976,311.0657164088303,-4.179349427493889,-4.774488116290693,-0.5504418633476115
TSLA,2019-02-20,305.77100000000024,316.33199999999977,310.2556481794176,-4.368854699775568,-4.693361432987668,0.0151814098778522
TSLA,2019-02-21,305.95300000000026,316.3176999999998,308.44368168613903,-5.371357637086533,-4.828960673807441,0.270454111427692
TSLA,2019-02-22,306.1130000000002,316.2773999999998,307.1357120017444,-5.817975520942923,-5.026763643234538,-0.1522225784286555
TSLA,2019-02-25,306.1995000000002,316.2613999999997,306.3389775253876,-5.777713458266419,-5.1769536062409145,-0.0040304993762509
TSLA,2019-02-26,306.2735000000002,316.2164499999998,305.53145585630284,-5.752918811328982,-5.292146647258528,0.2385216034008566
TSLA,2019-02-27,307.13750000000016,316.2650499999998,306.40846006046473,-4.321379771258421,-5.097993272058507,0.4558841252087201
TSLA,2019-02-28,307.6930000000002,316.3591499999998,307.6914638642303,-2.7405286171873517,-4.626500341084276,0.3999126709924092
TSLA,2019-03-01,307.08150000000023,316.3732499999998,306.46275302001766,-3.472220406500412,-4.395644354167504,1.1060599062351335
TSLA,2019-03-04,305.7390000000002,316.3791499999998,304.4529670181108,-4.758164453209474,-4.4681483739758985,0.752131364787579
TSLA,2019-03-05,303.9215000000002,316.3294499999998,301.79458920686176,-6.415036119867352,-4.857525923154189,0.7768033945474065
