ticker,dateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AAPL,2018-07-10,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-11,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-12,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-13,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-14,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-15,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-16,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-17,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-18,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-19,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-20,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-21,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-22,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-23,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-24,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-25,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-26,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-27,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
AAPL,2018-07-28,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000
