,Stock,Date,MAVG_20,MAVG_200,EMA,MACD,MACD_EMA,REL_VOL
11172,PLUG,2020-06-06,4.285999999999999,3.539200000000002,4.334742146861527,0.1160052321747908,0.0520551582866225,
11173,PLUG,2020-06-07,4.285999999999999,3.539200000000002,4.334742146861527,0.1160052321747908,0.0520551582866225,
11174,PLUG,2020-06-08,4.322499999999999,3.554600000000001,4.424766704303286,0.1765643367022686,0.0769569939697518,0.3604324096827641
11175,PLUG,2020-06-09,4.361999999999998,3.5692000000000017,4.489074637226783,0.2076398250163631,0.103093560179074,0.0217593476507439
11176,PLUG,2020-06-10,4.430999999999998,3.5869500000000016,4.600591338443279,0.2742928164303535,0.13733341142933,1.0110223136496486
11177,PLUG,2020-06-11,4.462999999999998,3.599950000000001,4.614820734782015,0.2507953844449568,0.1600258060324554,0.550441074515447
11178,PLUG,2020-06-12,4.512999999999998,3.6146000000000016,4.657218760040871,0.2542569931806717,0.1788720434620986,0.0592203677578249
11179,PLUG,2020-06-13,4.512999999999998,3.6146000000000016,4.657218760040871,0.2542569931806717,0.1788720434620986,
11180,PLUG,2020-06-14,4.512999999999998,3.6146000000000016,4.657218760040871,0.2542569931806717,0.1788720434620986,
11181,PLUG,2020-06-15,4.569499999999998,3.629950000000002,4.70986459241793,0.2660373761709822,0.1963051100038754,-0.2778776168789305
11182,PLUG,2020-06-16,4.633499999999998,3.646350000000002,4.7803536788543175,0.2913805551386499,0.2153201990308303,-0.0366546011662304
11183,PLUG,2020-06-17,4.689499999999998,3.661950000000002,4.828891423725335,0.2951522132456414,0.2312866018737925,-0.3977105547795485
11184,PLUG,2020-06-18,4.747999999999998,3.678200000000002,4.882330335751494,0.3027208660275216,0.2455734547045383,-0.6329088929670261
11185,PLUG,2020-06-19,4.813499999999999,3.6948500000000015,4.939251256156113,0.3123803989360896,0.2589348435508486,-0.054169294823792
11186,PLUG,2020-06-20,4.813499999999999,3.6948500000000015,4.939251256156113,0.3123803989360896,0.2589348435508486,
11187,PLUG,2020-06-21,4.813499999999999,3.6948500000000015,4.939251256156113,0.3123803989360896,0.2589348435508486,
11188,PLUG,2020-06-22,4.886499999999999,3.7118500000000023,4.9993225650936255,0.3235680056429606,0.271861475969271,-0.5759793862885779
11189,PLUG,2020-06-23,4.996999999999998,3.7327000000000026,5.135577558894233,0.3972498284971424,0.2969391464748453,1.3018727917245014
11190,PLUG,2020-06-24,5.158999999999998,3.758900000000003,5.36742731519002,0.5413908597533004,0.3458294891305363,1.3545889162440494
11191,PLUG,2020-06-25,5.313999999999998,3.7834000000000025,5.556243761362399,0.6306023131904235,0.4027840539425138,0.3549824730088159
11192,PLUG,2020-06-26,5.444999999999999,3.8050500000000023,5.677553879327885,0.651829493938135,0.4525931419416381,0.1811594714505455
11193,PLUG,2020-06-27,5.444999999999999,3.8050500000000023,5.677553879327885,0.651829493938135,0.4525931419416381,
11194,PLUG,2020-06-28,5.444999999999999,3.8050500000000023,5.677553879327885,0.651829493938135,0.4525931419416381,
