Date,Stock,Open,Close,Volume
2018-01-02,TSLA,62.400001525878906,64.10600280761719,21761000
2018-01-03,TSLA,64.19999694824219,63.45000076293945,22607500
2018-01-04,TSLA,62.57400131225586,62.92399978637695,49731500
2018-01-05,TSLA,63.32400131225586,63.316001892089844,22956000
2018-01-08,TSLA,63.20000076293945,67.28199768066406,49297000
2018-01-09,TSLA,67.03199768066406,66.73799896240234,35733000
2018-01-10,TSLA,66.44000244140625,66.95999908447266,21549500
2018-01-11,TSLA,67.0479965209961,67.58999633789062,33227500
2018-01-12,TSLA,67.72599792480469,67.24400329589844,24125500
2018-01-16,TSLA,67.50800323486328,68.01200103759766,32371500
2018-01-17,TSLA,68.09400177001953,69.43199920654297,35517500
2018-01-18,TSLA,69.13400268554688,68.91400146484375,28429000
2018-01-19,TSLA,69.0,70.00399780273438,24441500
2018-01-22,TSLA,69.87999725341797,70.31199645996094,31052000
2018-01-23,TSLA,72.0,70.55799865722656,27327000
2018-01-24,TSLA,70.91600036621094,69.1780014038086,26437500
2018-01-25,TSLA,69.65399932861328,67.52799987792969,33701500
2018-01-26,TSLA,68.30000305175781,68.56999969482422,22697000
2018-01-29,TSLA,67.97000122070312,69.90599822998047,23735500
2018-01-30,TSLA,69.02799987792969,69.16400146484375,23588500
2018-01-31,TSLA,69.50199890136719,70.86199951171875,31070500
2018-02-01,TSLA,70.19999694824219,69.8499984741211,20988500
2018-02-02,TSLA,69.68800354003906,68.75,18524000
2018-02-05,TSLA,67.59400177001953,66.6259994506836,22320500
2018-02-06,TSLA,65.04199981689453,66.79399871826172,25442000
2018-02-07,TSLA,67.7979965209961,69.0,34846000
2018-02-08,TSLA,68.66200256347656,63.04600143432617,51573000
2018-02-09,TSLA,63.986000061035156,62.08399963378906,64668500
2018-02-12,TSLA,63.22600173950195,63.145999908447266,31139000
2018-02-13,TSLA,63.00400161743164,64.73200225830078,22801000
2018-02-14,TSLA,64.16799926757812,64.46199798583984,19753500
2018-02-15,TSLA,64.9000015258789,66.81400299072266,29564500
2018-02-16,TSLA,66.5,67.0979995727539,28213000
2018-02-20,TSLA,66.89399719238281,66.9540023803711,20047000
2018-02-21,TSLA,67.20600128173828,66.66000366210938,16098000
2018-02-22,TSLA,67.10600280761719,69.23400115966797,34849000
2018-02-23,TSLA,69.56600189208984,70.41000366210938,29087000
2018-02-26,TSLA,70.69999694824219,71.48400115966797,21700000
2018-02-27,TSLA,71.25,70.197998046875,23987000
2018-02-28,TSLA,70.51399993896484,68.61199951171875,30348500
2018-03-01,TSLA,69.00199890136719,66.18599700927734,34428000
2018-03-02,TSLA,65.39600372314453,67.02400207519531,25464000
2018-03-05,TSLA,66.47799682617188,66.66999816894531,19119000
2018-03-06,TSLA,66.75,65.63999938964844,21428500
2018-03-07,TSLA,65.08799743652344,66.45999908447266,25036500
2018-03-08,TSLA,66.5719985961914,65.81999969482422,17831000
2018-03-09,TSLA,64.81999969482422,65.43399810791016,27534000
2018-03-12,TSLA,65.72200012207031,69.10199737548828,41320000
2018-03-13,TSLA,65.72200012207031,68.36799621582031,29829000
2018-03-14,TSLA,67.35199737548828,65.32599639892578,39837000
2018-03-15,TSLA,65.8759994506836,65.12000274658203,32824000
2018-03-16,TSLA,64.58599853515625,64.2699966430664,30586500
2018-03-19,TSLA,63.29999923706055,62.71200180053711,37421500
2018-03-20,TSLA,62.9739990234375,62.11000061035156,23821500
2018-03-21,TSLA,62.04999923706055,63.305999755859375,29792000
2018-03-22,TSLA,62.77799987792969,61.81999969482422,24699000
2018-03-23,TSLA,62.25,60.30799865722656,33274500
2018-03-26,TSLA,61.46799850463867,60.83599853515625,41876000
2018-03-27,TSLA,60.79999923706055,55.83599853515625,69360000
2018-03-28,TSLA,52.91600036621094,51.555999755859375,105007000
2018-03-29,TSLA,51.29800033569336,53.22600173950195,75853500
2018-04-02,TSLA,51.25199890136719,50.49599838256836,80570000
2018-04-03,TSLA,53.9640007019043,53.50600051879883,94222000
2018-04-04,TSLA,50.555999755859375,57.38800048828125,99483500
2018-04-05,TSLA,57.86800003051758,61.14400100708008,95605500
2018-04-06,TSLA,60.20000076293945,59.86000061035156,67601500
2018-04-09,TSLA,60.07400131225586,57.93199920654297,51249000
2018-04-10,TSLA,59.79399871826172,60.939998626708984,54949000
2018-04-11,TSLA,60.14799880981445,60.18600082397461,37414500
2018-04-12,TSLA,60.4640007019043,58.816001892089844,38044000
2018-04-13,TSLA,60.720001220703125,60.06800079345703,36636000
